1   0.81
2   0.16
3   0.04
4   1.69
5   0.36
6   0.64
7   0.09
8   1
9   0.49
10   0.16
11   0.01
12   2.89
13   4.84
14   0.04
15   1.44
16   0.04
17   0.81
18   0.81
19   2.56
20   0.09
21   0.04
22   0.64
23   0.16
24   1.96
25   0.16
26   0.16
27   0.36
28   0.49
29   0.01
30   0.04
31   1.21
32   1
33   1.96
34   0.04
35   0.25
36   0.25
37   3.61
38   2.25
39   0.09
40   1
41   1.96
42   0.09
43   3.24
44   0.09
45   0.49
46   6.76
47   1.44
48   1.44
49   0.09
50   0.25
51   1.44
52   0.81
53   0.01
54   0.01
55   0.36
56   0.01
57   0.36
58   7.29
59   0.64
60   4.84
61   4.84
62   1.21
63   2.25
64   0.49
65   4
66   1.44
67   1.96
68   0.16
69   0.01
70   2.89
71   0.36
72   0.04
73   0.25
74   1.44
75   0.49
76   1.21
77   0.64
78   0.81
79   0.25
80   0.01
81   0
82   0
83   0
84   7.84
85   0.01
86   0.01
87   0
88   0.16
89   3.61
90   0.25
91   0
92   0
93   0.01
94   1.44
95   0.36
96   2.56
97   0.64
98   0.09
99   0
100   0.04
