  1  1.39958  1.39958  0
  2  1.39958  1.39958  2.29483e-06
  3  1.39952  1.39956  1.60208e-05
  4  1.39961  1.39957  1.65236e-05
  5  1.39969  1.3996  2.40084e-05
  6  1.39956  1.39959  2.06011e-05
  7  1.39958  1.39959  1.77243e-05
  8  1.39969  1.3996  1.96492e-05
  9  1.39969  1.39961  1.96081e-05
  10  1.39969  1.39962  1.90209e-05
  11  1.39969  1.39963  1.82409e-05
  12  1.3996  1.39962  1.68471e-05
  13  1.39965  1.39963  1.56369e-05
  14  1.39963  1.39963  1.45201e-05
  15  1.39966  1.39963  1.36984e-05
  16  1.39967  1.39963  1.31204e-05
  17  1.39969  1.39963  1.28809e-05
  18  1.39968  1.39964  1.23723e-05
  19  1.39952  1.39963  1.31307e-05
  20  1.39951  1.39962  1.38231e-05
