0  1
1  1.42373
2  0.862911
3  0.622426
4  1.30146
5  2.04666
6  2.40053
7  3.10188
8  3.78301
9  4.1613
10  4.18391
11  4.6464
12  3.86584
13  3.40935
14  3.41681
15  3.51685
16  4.34522
17  4.96301
18  5.80742
19  5.20637
20  5.12752
21  6.0741
22  6.1238
23  6.06623
24  6.74943
25  7.03697
26  7.73112
27  7.28193
28  6.35861
29  5.63067
30  5.95338
31  5.78103
32  6.33549
33  7.29893
34  6.79918
35  6.22602
36  6.19395
37  6.75577
38  5.93311
39  5.17051
40  5.1287
41  4.58852
42  4.29871
43  4.77025
44  4.96434
45  5.66558
46  6.36468
47  5.91979
48  6.6337
49  5.83497
50  5.28698
51  6.00468
52  6.06454
53  5.22057
54  5.80664
55  6.68482
56  6.49075
57  6.09825
58  6.60429
59  6.17704
60  6.39053
61  7.27152
62  7.14451
63  7.08754
64  6.84236
65  7.1762
66  7.03064
67  7.46641
68  7.00897
69  7.86266
70  8.58586
71  9.38929
72  9.25615
73  8.72791
74  7.80086
75  7.69214
76  7.94699
77  8.2798
78  8.5534
79  9.46039
80  8.4606
81  7.92193
82  7.64958
83  7.49849
84  8.43206
85  8.73378
86  8.24646
87  7.98279
88  8.13134
89  7.485
90  8.0621
91  8.87881
92  8.04046
93  8.82438
94  8.09851
95  8.378
96  7.48037
97  8.25249
98  9.15737
99  9.89691
