0  867.997  1023.03
1  747.111  947.588
2  721.871  871.413
3  690.392  794.828
4  659.255  737.37655  631.299  687.486 6  603.466  656.787  651.024  682.248
8  620.529  665.958
9  595.257  650.208
10  582.086  625.732
11  565.26  601.082
12  556.813  584.984
13  535.31  570.482
14  528.103  554.649
15  513.05  541.476
16  508.805  531.165
17  504.877  519.319
18  497.801  508.506
19  489.628  504.065
20  487.403  496.242
21  484.718  490.771
22  482.493  488.139
23  482.254  485.605
24  467.563  482.989
25  459.629  479.397
26  455.444  470.411
27  451.385  460.716
28  450.929  454.778
29  447.71  452.364
30  444.741  451.349
31  435.626  449.194
32  428.982  445.244
33  428.982  437.767
34  427.476  429.559
35  423.014  428.724
36  411.11  426.879
37  410.952  423.611
38  404.988  419.975
39  404.988  414.842
40  398.974  407.053
41  396.415  404.116
42  396.415  400.315
43  393.893  396.876
44  393.893  396.221
45  393.874  395.446
46  393.874  394.684
47  393.874  394.118
48  393.874  393.888
49  390.022  393.879
50  384.304  393.792
51  375.131  392.605
52  375.131  386.872
53  374.756  378.714
54  371.01  375.507
55  371.01  374.655
56  369.834  373.391
57  365.713  371.455
58  365.485  369.054
59  364.849  366.507
60  361.087  365.448
61  355.468  364.29
62  355.468  361.44
63  354.695  357.72
64  354.669  355.311
65  347.865  354.933
66  343.039  353.487
67  340.869  348.984
68  340.869  343.797
69  336.205  341.645
70  336.205  340.179
71  336.205  337.696
72  328.535  336.183
73  328.535  334.901
74  328.535  330.28
75  328.206  328.534
76  321.428  328.453
77  321.1  327.045
78  321.1  322.316
79  317.234  321.088
80  315.972  320.475
81  315.972  318.206
82  315.497  316.162
83  315.417  315.856
84  314.781  315.567
85  314.226  315.4
86  309.612  315.085
87  309.612  314.653
88  309.612  314.2
89  309.612  313.936
90  309.612  313.517
91  309.612  312.539
92  309.612  310.971
93  309.612  309.745
94  309.612  309.612
95  309.612  309.612
96  309.612  309.612
97  306.591  309.603
98  306.591  309.181
99  306.591  307.462
100  306.591  306.591
101  302.736  306.576
102  301.34  306.168
103  301.34  304.742
104  301.34  302.567
105  301.34  301.429
106  300.619  301.338
107  300.619  301.334
108  300.619  301.448
109  300.619  304.97
110  300.619  306.254
111  300.619  302.934
112  300.619  300.619
113  300.619  300.619
114  300.324  300.618
115  298.556  300.565
116  295.613  300.044
117  295.613  298.23
118  293.048  296.154
119  292.078  295.126
120  291.621  293.612
121  291.621  292.265
122  291.621  291.742
123  291.621  291.621
124  291.584  291.621
125  291.584  291.614
126  291.356  291.588
127  291.356  291.514
128  289.417  291.356
129  289.417  291.328
130  288.891  291.224
131  288.891  290.948
132  288.729  290.09
133  288.729  289.045
134  288.729  288.796
135  288.435  288.728
136  288.435  288.673
137  285.947  288.503
138  285.654  287.942
139  285.55  286.533
140  285.55  285.65
141  285.55  285.58
142  285.55  285.55
143  283.532  285.544
144  283.532  285.238
145  283.532  284.13
146  283.532  283.532
147  283.532  283.532
148  283.532  283.532
149  283.532  283.532
150  283.532  283.532
151  283.532  283.532
152  283.532  283.532
153  283.532  283.532
154  281.131  283.525
155  281.131  283.017
156  281.131  281.419
157  281.131  281.131
158  281.131  281.131
159  281.131  281.131
160  281.131  281.131
161  281.131  281.131
162  281.131  281.131
163  280.075  281.128
164  277.057  280.996
165  277.057  279.773
166  277.057  277.627
167  276.657  277.056
168  276.657  276.972
169  276.657  276.733
170  276.657  276.657
171  276.657  276.657
172  276.657  276.657
173  276.657  276.657
174  276.657  276.657
175  276.657  276.657
176  276.657  276.657
177  276.657  276.657
178  276.657  276.657
179  276.657  276.657
180  276.657  276.657
181  276.657  276.657
182  276.657  276.657
183  276.657  276.657
184  276.657  276.657
185  276.657  276.657
186  276.657  276.657
187  276.657  276.657
188  276.657  276.657
189  276.657  276.657
190  276.657  276.657
191  276.657  276.657
192  276.657  276.657
193  276.657  276.657
194  276.657  276.657
195  276.657  276.657
196  276.657  276.657
197  276.657  276.657
198  276.657  276.657
199  276.657  276.657
200  276.657  276.657
201  276.657  276.657
202  276.657  276.657
203  276.657  276.657
204  276.657  276.657
205  275.637  276.654
206  275.637  276.485
207  275.637  275.885
208  275.637  275.637
209  275.637  275.637
210  275.637  275.637
211  275.637  275.637
212  275.637  275.637
213  275.637  275.637
214  275.637  275.637
215  275.637  275.637
216  275.637  275.637
217  275.637  275.637
218  275.637  275.637
219  275.637  275.637
220  275.637  275.637
221  275.637  275.637
222  275.637  275.637
223  275.637  275.637
224  275.637  275.637
225  275.637  275.637
226  275.637  275.637
227  275.637  275.637
228  275.637  275.637
229  275.637  275.637
230  275.592  275.637
231  275.592  275.629
232  275.592  275.602
233  275.592  275.592
234  275.592  275.592
235  275.592  275.592
236  275.592  275.592
237  275.592  275.592
238  275.592  275.592
239  275.592  275.592
240  275.592  275.592
241  275.592  275.592
242  275.592  275.592
243  275.592  275.592
244  275.592  275.592
245  275.592  275.592
246  275.592  275.592
247  275.592  275.592
248  275.592  275.592
249  275.592  275.592
250  275.592  275.592
251  275.592  275.592
252  275.592  275.592
253  275.592  275.592
254  275.592  275.592
255  275.592  275.592
256  275.592  275.592
257  275.592  275.592
258  275.592  275.592
259  275.592  275.592
260  275.592  275.592
261  275.592  275.744
262  275.592  278.622
263  275.592  281.51
264  275.592  279.935
265  275.592  276.355
266  275.592  275.592
267  275.592  275.592
268  275.592  275.592
269  275.592  275.592
270  275.592  275.592
271  275.592  275.592
272  275.592  275.592
273  275.592  275.592
274  275.592  275.592
275  275.592  275.592
276  274.156  275.588
277  274.156  275.37
278  274.156  274.468
279  274.156  274.156
